Países,Densidad,Población,Población.1,Var.,Año
España [+],92.0,46.486.621,,"0,26%",2009
Alemania [+],229.0,81.802.257,,"-0,24%",2009
Reino Unido [+],257.0,62.510.197,,"0,75%",2009
Francia [+],118.0,64.658.856,,"0,48%",2009
Italia [+],198.0,59.690.316,,"0,45%",2009
Portugal [+],115.0,10.573.479,,"0,10%",2009
Estados Unidos [+],31.0,306.771.529,,"0,88%",2009
Japón [+],337.0,127.551.000,,"-0,11%",2009
China [+],140.0,1.334.500.000,,"0,49%",2009
Andorra [+],157.0,73.600,,"-12,88%",2009
Emiratos Árabes Unidos [+],69.0,6.774.000,,"4,25%",2009
Afganistán [+],42.0,27.385.000,,"3,63%",2009
Antigua y Barbuda [+],191.0,84.000,,"1,20%",2009
Albania [+],102.0,2.918.674,,"-0,60%",2009
Armenia [+],109.0,3.249.482,,"0,36%",2009
Angola [+],18.0,22.415.000,,"3,87%",2009
Argentina [+],14.0,40.134.000,,"0,98%",2009
Austria [+],100.0,8.351.643,,"0,20%",2009
Australia [+],3.0,21.866.000,,"1,82%",2009
Azerbaiyán [+],104.0,8.997.586,,"1,13%",2009
Bosnia y Herzegovina [+],75.0,3.844.046,,"0,00%",2009
Barbados [+],647.0,278.000,,"0,36%",2009
Bangladés [+],983.0,145.925.000,,"1,12%",2009
Bélgica [+],355.0,10.839.905,,"0,81%",2009
Burkina Faso [+],57.0,15.710.000,,"2,96%",2009
Bulgaria [+],67.0,7.421.766,,"-0,61%",2009
Baréin [+],1.55,1.178.000,,"6,80%",2009
Burundi [+],322.0,8.948.000,,"5,20%",2009
Benin [+],83.0,9.509.000,,"3,05%",2009
Brunéi [+],66.0,380.000,,"1,33%",2009
Bolivia [+],9.0,10.016.000,,"1,67%",2009
Brasil [+],23.0,193.174.000,,"0,96%",2009
Bahamas [+],25.0,347.000,,"1,46%",2009
Bután [+],18.0,690.000,,"1,17%",2009
Botsuana [+],3.0,1.991.000,,"2,10%",2009
Bielorrusia [+],46.0,9.480.178,,"-1,98%",2009
Belice [+],14.0,315.000,,"2,61%",2009
Canadá [+],3.0,33.630.069,,"1,15%",2009
República Democrática del Congo [+],27.0,63.845.000,,"3,29%",2009
República Centroafricana [+],7.0,4.609.000,,"2,22%",2009
República del Congo [+],12.0,4.257.000,,"4,08%",2009
Suiza [+],189.0,7.785.806,,"1,09%",2009
Costa de Marfil [+],65.0,20.954.000,,"2,86%",2009
Chile [+],22.0,16.855.000,,"1,04%",2009
